lvl	Key	Value
>>>	Teaser	"Nightmarish?
>>	Name	Wait... what?
>	Name	Tending the Rose Garden
>	Description	What might one expect from Leopold, Pirate-King of the Isle of Cats: a hulking, grizzled presence with a crimson cat tattooed across his back? An oil-bearded wretch with a brace of pistols strapped to each hip, and eyes like wildfire? A gaunt-cheeked honey-seeker wasted from years of dissolution?\r\n\r\nHe looks, as it turns out, more like a lawyer than a dissolute lord - though he is at least wearing a robe of patterned-silk over his dark suit. Behind him you see a wall of what you think are wine-racks. On closer inspection, the racks hold bottle upon carefully labelled bottle of red honey. 
>	Teaser	What might one expect from Leopold, Pirate-King of the Isle of Cats: a hulking, grizzled presence with a crimson cat tattooed across his back?
>>	Description	Isery enters with a wine-glass of thick honey; behind them Zaira drags in a stumbling prisoner. It is the sailor you stole from the Cumaean Canal, only they do not seem to recognise you at all.
>>	Name	"Captain's compliments, my King."
>	Name	A Meeting with the Pirate King
>	Description	Two Melliferous Sisters unlock the gates; your key is mostly ceremonial. Before you is a garden dipped in blood. A sea of petalled crimson. Winding paths lead to irregular rows of cages, each covered in tangles of thorn and vine. Some of the prisoners inside the cages call out to you, others mutter to themselves, or weep. A few simply stare, hopeless and silent.
>	Teaser	Two Melliferous Sisters unlock the gates; your key is mostly ceremonial...
>>	Description	"Such a beautiful night. I think the roses are whispering to me. Or is it the prisoners? I lose track."
>>>	Description	She tells you that she was once a prisoner in this very garden, but that she escaped and drank down her own memories stewed bright and honey-sweet. "And then I was whole again!" She claps, and a laugh echoes from her twisting lips. "Or maybe that was someone else. It most probably was. Don't you think? It sounds very far-fetched, now that I say it out loud."\r\n\r\nA breeze lifts her gold-mesh veil: there is a shadowed emptiness where her eyes should be, and livid scars all around. The sort a nectar-maddened lamplighter bee might leave, when it burrowed into a brain. You shiver a little, and give no answer.
>>>	Teaser	She tells you that she was once a prisoner in this very garden, but that she escaped and drank down her own memories stewed bright and honey-sweet...
>>	Name	Talk to the Lady of the Gardens
>>	Description	A Melliferous Sister is pouring it into a glass vial, fresh from the honey-spinner. You could beg a drop.
>>>	Description	The succulent droplet hits your tongue and you are transported: you are sitting in the shadow of a spire of polished obsidian. Some children nearby are playing an unfamiliar game involving skipping stones and swapping feathered masks. You-in-the-memory are peeling the skin from a round, translucent fruit. The sharp taste of it chases the honey-sweetness from your mouth. You taste that ghost-taste on your tongue for days after, longed-for and familiar.
>>>	Teaser	The succulent droplet hits your tongue and you are transported: you are sitting in the shadow of a spire of polished obsidian...
>>	Name	A sip of red honey
>>	Description	The Melliferous Sister tells you that the honey occludes at the precise moment when the person the memories are harvested from dies. The memories lose their sharpness, a little.
>>>	Description	You taste the honey, and then your mouth fills with blood. A fight! You-in-the-memory feels a hand squeezing your neck. A dull pain in your left knee. Your fingers fumbling for a knife, just ever so slightly out of reach. You spit a tooth into your assailant's eye, and she flinches back. Your fingers close around the knife, and you slash her across the cheek. The whitish substance of her eye leaks down her face, and she howls into the false-starred sky.\r\n\r\nIs there a dead woman writhing in some strange hell, as you steal her memories? Death, in the Neath, is so rarely a release.
>>>	Teaser	You taste the honey, and then your mouth fills with blood...
>>	Name	An occluded vial
>	Name	The Garden of Roses and Cages
>	Description	This is the salt-blown heart of the Hold. The Fathomking floats in his throne: a gem-starred bowl of sea-stone, the size of a banqueting table. He's wearing a dressing gown of purple brocade, soaked dark with salt water. He leans his chin calmly on his hand. Beneath the surface of the water in his throne, his hidden regions pulse, constantly, insistently.
>	Teaser	This is the salt-blown heart of the Hold...
>>	Description	She died at sea. Perhaps he can return her. His price will be steep.
>>>	Description	Guards in thorned exoskeletons issue from a dark slit behind the throne. The Campaigner walks between them, wrists chained with bronze, face calm and empty.\r\n\r\n"The flames," the Fathomking remarks, "have been quenched in the zee. Is she as she was? Not entirely. But you will be unable to discern any differences that might trouble you."
>>>	Teaser	Guards in thorned exoskeletons issue from a dark slit behind the throne...
>>	Name	"Your Complexity: I pray you, give me back my Campaigner."
>>	Description	Perhaps the Fathomking, with his allies in dreams, can return the Magician.
>>>	Description	Guards in thorned exoskeletons issue from a dark slit behind the throne. The Magician walks between them, wrists chained with bronze, face calm and empty.\r\n\r\n"I have made adjustments," the Fathomking confesses. "I couldn't quite restore the man you lost. In dreams or in sea, my authority is limited. But you should find this one suitable for your needs."
>>>	Teaser	Guards in thorned exoskeletons issue from a dark slit behind the throne...
>>	Name	"Give me back my Magician."
>>	Description	"Its mind is gone," the King warns you. "But if you have a Fluke-Core, the Core can become its new identity - "
>>>	Description	Guards in thorned exoskeletons issue from a dark slit behind the throne. Your Nacreous friend walks between them. Its eyes are unreadable.\r\n\r\n"It is not as it was," the King informs you. "That is gone forever. Rejoice. You walk in the company of a risen god."
>>>	Teaser	Guards in thorned exoskeletons issue from a dark slit behind the throne...
>>>	Name	A triple hybrid?
>>	Name	"Give me back my Outcast."
>>	Description	Perhaps it's someone you knew. Perhaps you're feeling philanthropic. Perhaps you're simply desperate for crew. [This is an expensive way to gain crew.]
>>>	Description	A wall puckers open, and a guard in a thorned exoskeleton brings in a shivering zailor. "Captain!" she cries. "I was - it was - the cold - "\r\n\r\n"Go," the Fathomking says languidly. "I won't release her twice."
>>>	Teaser	A wall puckers open, and a guard in a thorned exoskeleton brings in a shivering zailor...
>>	Name	"I have come to plead for a zailor's life."
>>	Description	Two silent guards in thorned exoskeletons drag a babbling Drownie forwards. "No!" she shrieks. "I am no friend of spiders! I have never purchased silk! It was a gift! Your Complexity! I have always been loyal - "
>>>	Description	The guards fling the Drownie into the pool. The splash soaks the King, but his dignity is unmarred. The pulsing in the pool intensifies into threshing. The Drownie sinks from view, and the waters grow thick and dark. "Next," the King says peaceably.
>>>	Teaser	The guards fling the Drownie into the pool...
>>>	Name	A spray of seawater
>>	Name	Witness an execution
>>	Description	A body lies on a bier in the centre of the chamber. The Crocodile-Masked Visitor moves around it, indicating wounds in its head, neck, chest; muttering.
>>>	Description	He's speaking of the nature of the wounds - their dramatic effects on the landscapes of the body. He sounds like he's boasting - but a single tear trickles down from beneath his mask. At last the King nods. "The offering is acceptable," he says. Thorn-armoured guards carry the bier through a dark slit behind his throne.\r\n\r\nThe King begins, off-handedly, to outline the cartography of the deep undersea, and the patrol-routes of monsters. He notices your presence and snaps his fingers: the guard ushers you out, but not before you've heard valuable deep-gossip.
>>>	Teaser	He's speaking of the nature of the wounds - their dramatic effects on the landscapes of the body...
>>>	Name	Boasting?
>>	Name	Watch a Crocodile-Masked Visitor make an offering
>>	Description	Here's a visitor from the Taimen clan, in a grey robe patterned with leaping fish. She describes events at the Khan's Court; skirmishes with the Chelonate; zee-beast attacks.
>>>	Description	At last the King nods, and awards the Emissary a pouch of drowning-pearls. The hour of audience is past. Thorn-armoured guards escort you back to the surface. But the Emissary's words, and the King's questions, have taught you a great deal.
>>>	Teaser	At last the King nods, and awards the Emissary a pouch of drowning-pearls...
>>>	Name	Valuable information
>>	Name	Listen to a Khaganian Emissary
>>	Description	A hunter in sharkskin is haranguing the King. "...unpardonable intrusion! Our ancient rights have been impugned! King you may be, but not of the Shell-Slayers. We will pay no more tribute - "
>>>	Description	The King makes a chopping motion with his hand. A tide of crabs rushes from the shadows of the Throne-Cyst. They're on the hunter before he can turn, but not before he can scream. The King watches in satisfaction as they swarm the hunter, snipping the flesh from his bones. Thorn-armoured guards block the chamber door.\r\n\r\nWhen it's done; when his cries are long silenced, and scarred bones remain - the King motions you forwards. "Take something," he commands. "Let our justice be remembered above. You may go."
>>>	Teaser	The King makes a chopping motion with his hand...
>>>	Name	An abrupt end
>>	Name	Listen to a Chelonate Envoy
>>>	Description	"Black fire," the King intones, "risen from the sea. Remember me with its vapours." He smiles directly into your eyes. The audience is over: you return to the surface. Hunched, plated, scuttling slaves haul baskets of wet coal behind you.
>>>	Teaser	"Black fire," the King intones, "risen from the sea...
>>>	Name	Sea-coal
>>	Description	You have brought the King a story-gift. You may ask a gift in return. It's impossible to know what you'll receive...
>>>	Description	"Rosy flesh," the King intones, "won from the water. Taste it in good health." He waves a gracious hand, while his waters thresh. The audience is over. As you return, crab- slaves carry ice-boxes filled with sweet fresh meat - pink as dawn.
>>>	Teaser	"Rosy flesh," the King intones, "won from the water...
>>>	Name	Sea-bounty
>>	Name	Ask a boon of the King
>>	Description	You've finished here.
>>>	Description	Back at the dock, the air no longer smells of stone and copper. The light is the familiar glow of false-stars, not the piercing green of the Hold's eyes.
>>>	Teaser	Back at the dock, the air no longer smells of stone and copper...
>>>	Name	Return to the Valves of Pearl
>>	Name	Leave
>>	Description	Crocodile moves around a corpse-offering on a bier, clockwise. He indicates its wounds to the Fathomking. Why is he here?
>>>	Description	Crocodile is describing the wounds on the body, but the wounds he describes don't match the wounds you see. This is another Visage ritual. He sounds like he's boasting - but a single tear trickles down from beneath his mask. At last the King nods. "The offering is acceptable," he says. Thorn-armoured guards carry the bier through a dark slit behind his throne.\r\n\r\nThe King begins, off-handedly, to outline the cartography of the deep undersea, and the patrol-routes of monsters. He notices your presence and snaps his fingers. The guard ushers you out, but not before you've heard valuable deep-gossip. And you understand a little more Visage-lore. Crocodile has given this body to another kind of flood.
>>>	Teaser	Crocodile is describing the wounds on the body, but the wounds he describes don't match the wounds you see...
>>>	Name	Another rite
>>	Name	Watch a Visager
>>	Description	"Your Complexity: I have a more personal petition. You know something of my father, or what remains of him."
>>	Name	Discuss the matter of your Father's Bones
>>	Description	The Drownie court - soggy, chattering, hungry - populate a table of carved coral. The Poissonnier claps his hands. Your crew scurry in with steaming plates.
>>>	Description	There are seven courses, each named. It begins with <i>The First Touch on the Skin</i>: a plate of silky white flesh submerged in yellow sauce - fresh, sharp, shocking. Next comes <i>Struggling Against the Current</i>, a fierce terrine of coursing flavours. It leaves the diners watery-eyed and reaching for their wine. Before they recover, bowls of peligin soup are set before them. <i>"Swallowed!"</i> the Poissonnier intones. The taste is deep and rich and heavy, lining the stomach. Several drownies lift the bowls to their lips to catch the last drops.\r\n\r\nA merciful interlude follows. <i>The Surface, High Above</i> is a mild, palate-cleansing mousse. Afterwards comes <i>Lost Breath</i> - a roulade of still-wriggling tentacles; bitter on the tongue's tip, but departing with a long, mellow aftertaste as it slides down the throat. The penultimate course <i>The Abandonment of the Self</i> is spun with sugar and crunchy with salt. Spherical cages of solidified syrup, containing fiery sweetmeats. The filigree cracks between Drownie teeth. The sweetmeats vanish down damp gullets.\r\n\r\nLast of all, <i>The Promise of What is to Follow</i> - a brûléed cream of inexplicable pungency - indescribably more-ish. The diners lean back, bloated. When their senses return, they call for the Poissonnier and congratulate him upon impeccably reproducing the sensation of drowning in culinary form. "It was not drowning," the Fathomking says, his baritone rolling over their babble. "It was love." He raises his glass to the Poissonnier. 
>>>	Teaser	There are seven courses, each named...
>>>	Name	The Seventh Miracle
>>	Name	Attend the Poissonnier's feast
>>	Description	The Drownies of Scrimshander asked you to deliver evidence that the Chelonate's history is not all it's made out to be. 
>>	Name	Deliver the Cargo of Answers to the Fathomking
>	Name	The Throne-Cyst
>	Description	Some previous zee-captain acquired this horrendous compendium. Where, you'll never know. That's for the best.
>	Teaser	Some previous zee-captain acquired this horrendous compendium...
>>	Description	Some of the stains are so old that they no longer smell. Some of the writing is still legible. [This will increase your Iron to 60.]
>>>	Description	The moves; the consequences; the risks; the relics. Death is difficult on the Unterzee, but now you know more of it than you ever expected.
>>>	Teaser	The moves; the consequences; the risks; the relics...
>>	Name	Read the Boke
>>	Description	You're a soldier. This is your business. [This will increase your Iron to 85.]
>>>	Description	Mm. Yes. Ouch. Mm. My. Well, he deserved it. Good Lord. Good Lord. Hmm. Really? <i>Well</i>.
>>>	Teaser	Mm...
>>	Name	Read the Boke
>	Name	Read the Boke of Sharpes
>	Description	You've brought this decaying emigrant north. Now what?
>	Teaser	You've brought this decaying emigrant north...
>>	Description	Something is happening to the man in the bandages. He sighs. He groans. He clutches his chest.
>>>	Description	His bandages burst! Frost-moths clamber from the tatters. Nothing of him remains. The frost-moths - icy wings shining - take to the air, spiral, dissipate, are gone.\r\n\r\nHe won't pay his passage now. At least he's left his belongings for sale.
>>>	Teaser	His bandages burst! - 
>>>	Name	A soft explosion
>>	Name	Watch carefully
>>	Description	Keep your nose clean. You'll drop her off at the dock, as you promised, and after that, it's her problem.
>>>	Description	She grumbles and struggles, but you force her ashore. The bandaged figures on the dock watch the proceedings with interest. She doesn't pass the Skin-Check. Her possesions are forfeited: half of them fall due to you. "You'll be sorry!" she yells as the tomb-colonists drag her away.
>>>	Teaser	She grumbles and struggles, but you force her ashore...
>>>	Name	Exposure
>>	Name	Make no promise of discretion
>>	Description	The new tomb-colonist surveys Venderbight, shaking her head. "It won't do," she says. "It won't do at all."
>>>	Description	"I had no idea the place would be quite so unprepossessing. Perhaps we can liven it up a little, yet. If only I knew a helpful zee-captain..." [Bring ten units of Mushroom Wine to Venderbight, and perhaps they'll have something for you.]
>>>	Teaser	"I had no idea the place would be quite so unprepossessing...
>>>	Name	A plan!
>>	Name	Days of Shrooms and Roses
>>	Description	Your passenger stands sombrely by the rail. "Salt sent me a dream," she insists. "You must find my father."
>>>	Description	"Salt tells me that you'll find my father in the belly of a monstrous eel. Gods never lie."\r\n\r\nGods never lie? That seems optimistic. But if she's right, she'll reward you for her father's return.
>>>	Teaser	"Salt tells me that you'll find my father in the belly of a monstrous eel...
>>>	Name	A fisherman's tale
>>	Name	The New Jonah
>>	Description	"It is everything I imagined!" he tells you breathlessly. "But there's someone missing. Please - bring her to me."
>>>	Description	"She went off to the Mangrove College. She needed to get out of London. But Venderbight is just as safe as the College. And I'll wager she's bored of mud by now." [Look for the Shady Sort in the Mangrove College, somewhere in the south of the Unterzee.]
>>>	Teaser	"She went off to the Mangrove College...
>>>	Name	A vague commission
>>	Name	An Absent Friend
>>	Description	Your tomb-colonist passenger yanks off her bandages. She looks remarkably healthy for a tomb-colonist. "I'm not as dead as I look," she confesses. "And I won't get ashore without your help. Yes, the Constables are looking for me back home. Is that a problem?"
>>>	Description	You slip your furtive passenger past the Skin-Check Post and the Confirmation of Consolation. "Thanks, cap'n," she remarks casually. "Let me teach you a couple of tricks. Just in case you do this again. And here's a little hush-money."
>>>	Teaser	You slip your furtive passenger past the Skin-Check Post and the Confirmation of Consolation...
>>>	Name	Muffled oars
>>	Name	Help out an immigrant
>>	Description	Your passenger has been drinking. "Ahoy!" she chortles. "Defend yourself!" She launches a tipsy assault. Your crew hang back, chuckling. Thanks, crew.
>>>	Description	Drunk as she is, her skills are formidable. "I was carving men up," she informs you, "when you were still in the cradle." She flips your weapon over the side, embraces you, and staggers off down the gang-plank, gone for good. Your pride is hurt, and your ribs and head ache abominably. All these things are valuable lessons.
>>>	Teaser	Drunk as she is, her skills are formidable...
>>>	Name	A defeat!
>>	Name	One Last Fight
>>>	Description	Tomb-colonists have a life-time of bitter experience. Some of them are the deadliest combatants under the earth. Possibly this one is, when she hasn't drunk quite so much rum. You'll never know. She salutes you, laughing, after you disarm her. "Good fight!" she opines. Then she staggers backwards and falls over the side.\r\n\r\nYou never do find what happened to her. But at least you have her rather magnificent cavalry sabre, and her belongings.
>>>	Teaser	Tomb-colonists have a life-time of bitter experience...
>>>	Name	An effortless defence
>	Name	The Trouble with Tomb-Colonists
>	Description	The priests gather around the bull, capturing its blood in cups.
>	Teaser	The priests gather around the bull, capturing its blood in cups...
>>	Description	It doesn't look well.
>>>	Description	The question displeases the priests. How ill-omened, even to suggest that the bull might die!\r\n\r\nIf it does die, of course (says one in an aside), there will be another born with the same markings, if not on Visage itself, then somewhere around the Unterzee. Apis is never gone, but sometimes his spirit goes astray. \r\n\r\nTo show you the sort of markings they mean, they lift its tongue, and show you the jewel-coloured scarab on the underside. It looks more like a tattoo than a birthmark.\r\n\r\nThe bull rolls its eyes and pulls its head away.
>>>	Teaser	The question displeases the priests...
>>>	Name	Bad question
>>	Name	Ask whether the bull will be all right 
>>	Description	You could arrange an import through the proper contacts.
>>>	Description	The priests are not impressed with the offer. Moon-Moths are not supposed to partake in commercial or religious endeavours. Besides, it's plain from your offer that you don't understand the requirements for identifying the Apis bull, including the important rule that there can be only one at a time.
>>>	Teaser	The priests are not impressed with the offer...
>>>	Name	Perhaps not
>>	Name	Offer to sell them a new, undamaged bull
>>	Description	Perhaps it is a holy relic. Perhaps it could be sold as one to unsuspecting buyers elsewhere.
>>>	Description	But they aren't precisely pleased, either. In fact, they are highly suspicious of why Moon-Moth would want such a thing until you explain that you need it to educate some especially ignorant and impious visitors.\r\n\r\nThen they let you go ahead.
>>>	Teaser	But they aren't precisely pleased, either...
>>>	Name	The priests don't prevent you.
>>	Name	Collect some of the blood for yourself
>>	Description	Even wounded, it remains a god.
>>>	Description	The tokens are small and not very valuable, as suits your lower rank in the community. The priests arrange them on a table with other small items. \r\n\r\nAs you go out, you pass by the more impressive gifts: drafting tools from the Chief Geometer, scales from Jackal, a heap of foreign coin brought home by Crocodile.
>>>	Teaser	The tokens are small and not very valuable, as suits your lower rank in the community...
>>>	Name	Impeccable
>>	Name	Leave a respectful token of offering
>>	Description	The customs here may be worth reporting later.
>>>	Description	The priests would be suspicious of anyone else who did this. But you, as Moon-Moth, often have a need to narrate the rituals of Visage to newcomers. The explanations in the Library of Parts are not suitable for strangers, and therefore you are expected to compose your own.
>>>	Teaser	The priests would be suspicious of anyone else who did this...
>>>	Name	You alone may act
>>	Name	Observe and make notes
>>	Description	It is a shame to see it suffering so.
>>>	Description	You try to bind up the wound, but the bull cannot bear to be touched, and you are forced to give up, as further experiments will end in your being gored as well. In any case, veterinary interventions are not a Moth-like function.
>>>	Teaser	You try to bind up the wound, but the bull cannot bear to be touched, and you are forced to give up, as further experiments will end in your being gored as well...
>>>	Name	Bellowing and goring
>>	Name	Try to bandage the bull
>>>	Description	You do the task well. The animal stops the most distressing of its noises, and lies down.\r\n\r\nThe priests are suspicious. Medical knowledge is not a part of the etiquette of the Moth. On this one occasion, they are grateful enough not to have you removed, however.
>>>	Teaser	You do the task well...
>>>	Name	Out of character, but no one minds
>	Name	Apis Temple
>	Description	Up on the hillside, the buildings become scarcer and then vanish entirely, leaving you looking at the bottom of a great chin.
>	Teaser	Up on the hillside, the buildings become scarcer and then vanish entirely, leaving you looking at the bottom of a great chin...
>>	Description	The visitor is wearing all black, and keeps reaching up to scratch under its bat-mask. 
>>>	Description	You approach the Bat. It takes a step sideways away from the cliff edge and cocks its head at you. "Ey there," it says. "You're not me executioner."\r\n\r\nPerhaps it's not your role, then.
>>>	Teaser	You approach the Bat...
>>>	Name	Perhaps not
>>	Name	Push a visiting Bat off the stone chin
>>	Description	Imprint yourself on history. [This will get you kicked off the island, in all likelihood.]
>>>	Description	You ready your hand to write, but you don't get further than a few exclamatory glyphs before you're interrupted by a Jackal and led away for judgement. They don't take kindly to such interventions.\r\n\r\nWhen you recover from the pain they visit on you, you're back where you started. No mask, no costume, no reputation for expertise.
>>>	Teaser	You ready your hand to write, but you don't get further than a few exclamatory glyphs before you're interrupted by a Jackal and led away for judgement...
>>>	Name	Caught in the act
>>	Name	Deface the stone with new markings
>>	Description	It is paying obeisance to the face.
>>>	Description	You contemplate the Lion for some time. There is an arithmetic sequence to the count of bows that it performs to each feature: the eyes, the nose, each lip. It is hard to know whether Lion is meant to be her worshipper or her lover. Perhaps the two functions are not very distinct.\r\n\r\nWhen at last the Lion's bows are complete, it passes you with a slight snap of its mask-jaws. It was rude of you to stand there watching. The Moth watches visitors. It does not watch citizens. To do so has violated the strictures of both of your roles.
>>>	Teaser	You contemplate the Lion for some time...
>>>	Name	Service and worship
>>	Name	Silently observe the attitude of the visiting Lion
>>	Description	It offers many forms of inspiration.
>>>	Description	The citizens give many meanings to the face: perpetual beauty; stasis; the idea of looking upward into an unyielding darkness. But most of all they speak of the idea of someone above looking down. The face is not convenient to view from down here. It would look its best from the perspective of the ceiling of the Unterzee, beyond reach.
>>>	Teaser	The citizens give many meanings to the face: perpetual beauty; stasis; the idea of looking upward into an unyielding darkness...
>>>	Name	Flourishing in eternity
>>	Name	Meditate on the meaning of the face
>>	Description	It must be around here somewhere.
>>>	Description	You climb up along the side of Flourishing's cheek, following a staircase of worn steps. You don't remember the path being this difficult before.\r\n\r\nThe entry, when you come to it, is plugged with a substance fibrous as spider silk but slick and waxy to the touch. Is this new? Does it grow here? Do they clear it away every year? Is it a form of security?\r\n\r\nBut it doesn't yield to your hand.
>>>	Teaser	You climb up along the side of Flourishing's cheek, following a staircase of worn steps...
>>>	Name	Harder to find
>>	Name	Look for the doorway into the Ear
>>	Description	That's the sort of thing your Moth would have done to you.
>>>	Description	You tell the Frog a partially true story about how this face was carved. \r\n\r\nIt replies with questions. Detailed, astute, scholarly questions, about who the original people were who inhabited the island and whether the present citizens are their descendants, and, if not, where the original inhabitants might have gone. It hasn't learned the role of stupid credulity at all.\r\n\r\nCaught off guard like this, you have a hard time answering its questions smoothly. You part with irritation on both sides.
>>>	Teaser	You tell the Frog a partially true story about how this face was carved...
>>>	Name	Attended by some awkwardness
>>	Name	Offer instruction to the Frog that found its way up here
>>>	Description	You tell the Frog a partially true story about how this face was carved. The Frog replies with an amplified belch and a story it heard about the sphinxes known as the Salt Lions. It's really a very good Frog.
>>>	Teaser	You tell the Frog a partially true story about how this face was carved...
>>>	Name	Creditable on both sides
>>	Description	Tiny pictures march across the stone.
>>>	Description	No matter how you hold your head, no matter in what direction you try to read the script, you can't make out the meaning. They're in too old a dialect. Not to mention that the ones near the bottom get smaller and harder to read.
>>>	Teaser	No matter how you hold your head, no matter in what direction you try to read the script, you can't make out the meaning...
>>>	Name	Old words
>>	Name	Study ancient marks
>>>	Description	The pictures tell a story: this is the face of a woman, Flourishing-of-Years, who once was loved by one of the nobles inhabiting this island. But then she - what's this pictogram? ascended? bloomed? flew away? And consumed with grief he assembled those-who-carve-great-things-from-stone and remade the whole surface of the island.\r\n\r\nThere are several more lines after that, which narrate the cost of the labour contract for the workers, and what was done with all the stone that was carted away, and the compensation given to those who had formerly owned houses on what is now face territory. 
>>>	Teaser	The pictures tell a story: this is the face of a woman, Flourishing-of-Years, who once was loved by one of the nobles inhabiting this island...
>>>	Name	Love and labour costs
>	Name	Beside the Face
>	Description	Shattered, listing. Seize what you can.
>	Teaser	Shattered, listing...
>>	Description	Take what you can. Imprison or cut down any Khaganians that remain.
>>>	Description	See what remains. You've won no favour with the Khanate here today - take whatever you can.
>>>	Teaser	See what remains...
>>>	Name	What's in the hold?
>>	Name	Seize and loot her!
>>	Description	...if you're desperate not to antagonise the Khanate. This is a privateer which attacked you, or a rogue naval vessel - you're within your rights - but mercy will repair your reputation, if the Khanate dislikes you already.
>>>	Description	Your opponents are not delighted with the outcome. Their ship may lie beyond repair - perhaps they'll have to take to the boats. But the surviving officers shake your hand grudgingly, and wish you well.
>>>	Teaser	Your opponents are not delighted with the outcome...
>>>	Name	Surprise and confusion
>>	Name	Let her go
>>>	Description	Tactics, manoeuvres, weapons... and a few items of particular interest to the Admiralty.
>>>	Teaser	Tactics, manoeuvres, weapons...
>>>	Name	A bounty of intelligence!
>>	Description	If you've gathered enough, you may learn something...
>>>	Description	Tactics, manoeuvres, weapons. So similar, and yet so different. You can learn from this.
>>>	Teaser	Tactics, manoeuvres, weapons...
>>>	Name	A bounty of experience!
>>	Name	Record any Observations
>>	Description	Eight zailors should be enough for a skeleton crew, unless she runs into trouble.
>>>	Description	Your prize is never seen again. Perhaps a heptycheer devours your crew. Perhaps they devour each other. Perhaps they betray you and sail it to the Iron Republic, where laws cannot follow.
>>>	Teaser	Your prize is never seen again...
>>>	Name	Into the darkness
>>	Name	Send home with a prize crew
>>>	Description	When you next return to London, return to your Lodgings to claim your prize money...
>>>	Teaser	When you next return to London, return to your Lodgings to claim your prize money...
>>>	Name	Awaiting your pleasure
>	Name	You've defeated a War Trimaran
>	Description	The ship is yours! What will you do with her?
>	Teaser	The ship is yours! - 
>>	Description	She's a vile old vessel, and these zees aren't safe. Take what you can and move on.
>>>	Description	Here's something at the back of the hold...
>>>	Teaser	Here's something at the back of the hold...
>>>	Name	What's this?
>>	Name	Loot and scuttle her
>>	Description	If you've gathered enough, you may learn something...
>>>	Description	Corsairs! Inventive and disgusting as a sewerful of clockwork apes. You've gleaned enough details to write a treatise, a strategy manual or a titillating penny-dreadful.
>>>	Teaser	Corsairs! - 
>>>	Name	The study of squalor
>>	Name	Record any Observations
>>	Description	Three zailors should be enough for a skeleton crew, unless she runs into trouble.
>>>	Description	Your prize is never seen again. Perhaps a heptycheer devours your crew. Perhaps they devour each other. Perhaps they betray you and sail it to the Iron Republic, where laws cannot follow.
>>>	Teaser	Your prize is never seen again...
>>>	Name	Into the darkness
>>	Name	Send home with a prize crew
>>>	Description	When you next return to London, return to your Lodgings to claim your prize money...
>>>	Teaser	When you next return to London, return to your Lodgings to claim your prize money...
>>>	Name	Awaiting your pleasure
>	Name	You've defeated a Pirate Frigate
>	Description	The ship is yours! What will you do with her?
>	Teaser	The ship is yours! - 
>>	Description	She's a vile old vessel, and these zees aren't safe. Take what you can and move on.
>>>	Description	These pinnaces don't sail far from their hidden harbours, but here's something at the back of the hold -
>>>	Teaser	These pinnaces don't sail far from their hidden harbours, but here's something at the back of the hold -
>>>	Name	Lean pickings
>>	Name	Loot and scuttle her
>>	Description	If you've gathered enough, you may learn something...
>>>	Description	These pirates have done perverse and perilous things to their engine to keep it running at such a pace. You probably don't want to do those things. But you can learn from them...
>>>	Teaser	These pirates have done perverse and perilous things to their engine to keep it running at such a pace...
>>>	Name	Desperate innovations
>>	Name	Record any Observations
>>	Description	Two zailors should be enough for a skeleton crew, and she's fast enough to avoid most trouble.
>>>	Description	Your prize is never seen again. Perhaps a heptycheer devours your crew. Perhaps they devour each other. Perhaps they betray you and sail it to the Iron Republic, where laws cannot follow.
>>>	Teaser	Your prize is never seen again...
>>>	Name	Into the darkness
>>	Name	Send her home with a prize crew
>>>	Description	When you next return to London, return to your Lodgings to claim your prize money...
>>>	Teaser	When you next return to London, return to your Lodgings to claim your prize money...
>>>	Name	Awaiting your pleasure
>	Name	You've defeated a Pirate Steam-Pinnace
>	Description	The ship is yours! What will you do with her?
>	Teaser	The ship is yours! - 
>>	Name	Scuttle her
>>	Description	If you've gathered enough, you may learn something...
>>>	Description	[Something!]
>>>	Teaser	[Something! - 
>>	Name	Record any Observations
>>	Description	Twenty zailors should be enough for a skeleton crew, unless she runs into trouble.
>>>	Description	Your prize is never seen again. Perhaps a heptycheer devours your crew. Perhaps they devour each other. Perhaps they betray you and sail it to the Iron Republic, where laws cannot follow.
>>>	Teaser	Your prize is never seen again...
>>>	Name	Into the darkness
>>	Name	Send home with a prize crew
>>>	Description	When you next return to London, return to your Lodgings to claim your prize money...
>>>	Teaser	When you next return to London, return to your Lodgings to claim your prize money...
>>>	Name	Awaiting your pleasure
>	Name	You've defeated a Glorious Dreadnought
>	Description	The ship is yours! What will you do with her?
>	Teaser	The ship is yours! - 
>>	Description	What treasure did these villains take?
>>	Name	Investigate the hold
>>	Description	Twelve zailors should be enough for a skeleton crew, unless she runs into trouble.
>>>	Description	Your prize is never seen again. Perhaps a heptycheer devours your crew. Perhaps they devour each other. Perhaps they betray you and sail it to the Iron Republic, where laws cannot follow.
>>>	Teaser	Your prize is never seen again...
>>>	Name	Into the darkness
>>	Name	Send home with a prize crew
>>>	Description	When you next return to London, return to your Lodgings to claim your prize money...
>>>	Teaser	When you next return to London, return to your Lodgings to claim your prize money...
>>>	Name	Awaiting your pleasure
>	Name	You've defeated a Republican Dreadnought
>	Description	Fragments of clay are littered across the deck. They crunch underfoot like potsherds. Unfinished Men do not surrender.
>	Teaser	Fragments of clay are littered across the deck...
>>	Description	What treasure did these villains take?
>>	Name	Investigate the hold
>>	Description	If you've gathered at least 10 Observations, you may learn something...
